,class,precision,recall,f1-score,accuracy
0,A,0.0,0.0,,0.96229887
1,B,0.0,0.0,,0.965977
2,C,0.23287672,0.10897436,0.14847162,0.9551724
3,D,0.06549364,0.45578232,0.1145299,0.7618391
4,E,0.06896552,0.22535211,0.10561056,0.8754023
5,F,0.08677686,0.14,0.10714285,0.9195402
6,G,0.0,0.0,,0.9657471
7,H,0.0,0.0,,0.9629885
8,I,0.0,0.0,,0.9627586
9,J,0.0,0.0,,0.96229887
10,K,0.086419754,0.05147059,0.064516135,0.9533333
11,L,0.06521739,0.06122449,0.06315789,0.9386207
12,M,0.0,0.0,,0.9652873
13,N,0.05,0.15436241,0.075533666,0.8705747
14,O,0.0,0.0,,0.96252877
15,P,0.0,0.0,,0.9691954
16,Q,0.0,0.0,,0.96804595
17,R,0.0,0.0,,0.95954025
18,S,0.0,0.0,,0.96689653
19,T,0.0,0.0,,0.96827585
20,U,0.0,0.0,,0.9662069
21,V,0.0,0.0,,0.9650575
22,W,0.04450262,0.10897436,0.063197024,0.8841379
23,X,0.0,0.0,,0.9673563
24,Y,0.0,0.0,,0.9664368
25,Z,0.07166124,0.15602838,0.09821428,0.9071264
26,space,0.050125312,0.24390244,0.08316009,0.7972414
27,del,0.15384616,0.21428572,0.17910448,0.92413795
28,nothing,0.1980198,0.124223605,0.15267177,0.9489655
