filePath,classInt,classStr
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1007.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1016.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1025.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1034.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1043.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1052.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1061.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1070.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A108.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1089.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1098.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1106.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1115.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1124.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1133.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1142.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1151.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1160.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A117.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1179.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1188.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1197.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1205.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1214.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1223.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1232.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1241.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1250.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A126.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1269.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1278.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1287.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1296.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1304.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1313.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1322.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1331.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1340.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A135.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1359.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1368.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1377.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1386.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1395.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1403.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1412.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1421.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1430.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A144.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1449.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1458.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1467.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1476.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1485.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1494.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1502.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1511.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1520.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A153.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1539.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1548.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1557.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1566.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1575.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1584.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1593.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1601.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1610.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A162.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1629.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1638.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1647.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1656.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1665.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1674.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1683.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1692.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1700.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A171.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1719.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1728.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1737.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1746.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1755.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1764.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1773.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1782.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1791.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A180.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1809.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1818.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1827.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1836.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1845.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1854.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1863.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1872.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1881.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1890.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A19.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1908.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1917.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1926.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1935.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1944.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1953.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1962.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1971.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1980.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A199.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A1999.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A2006.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A2015.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A2024.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A2033.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A2042.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A2051.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A2060.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A207.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A2079.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A2088.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A2097.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A2105.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A2114.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A2123.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A2132.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A2141.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A2150.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A216.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A2169.jpg,0,A
C:\Users\lando\Documents\GitHub\Buell-Masters-Project\dataset\asl_alphabet_train\asl_alphabet_train\A\A2178.jpg,0,A
